"","domain","visits","pageviews","users","pageviews_per_session","avg_session_duration","exits","url","category","scraper_url","status","n_errors","n_lp","n_pp","error_bin"
"20","medicare.gov",5718144,17383274,2550760,3.040020328,262.4306973,5538136,"http://medicare.gov","Health","https://www.medicare.gov/about-us/how-medicare-is-funded/medicare-funding.html","FAIL",31,"31","493","30-39 errors"
"21","cbp.gov",3434525,8807015,2525865,2.564259978,133.974915,3428780,"http://cbp.gov","Law Enforcement and Justice","https://www.cbp.gov/about","PASS",0,"0","0","0-10 errors"
"22","census.gov",3241112,10394537,2271172,3.207089727,180.7562599,3196110,"http://census.gov","Home, Community, and Work","https://www.census.gov/about/what.html","FAIL",67,"31","1714","60-69 errors"
"23","studentloans.gov",3746668,9745357,2244362,2.601073007,349.2133592,3741880,"https://studentloans.gov/myDirectLoan/index.action","Children and Education","https://studentloans.gov/myDirectLoan/counselingInstructions.action?counselingType=entrance","FAIL",9,"36","158","0-10 errors"
"24","ghr.nlm.nih.gov",2781515,4071258,2206062,1.46368364,104.1549181,2783430,"http://nih.gov","Health","https://www.nih.gov/about-nih/what-we-do/mission-goals","FAIL",5,"21","617","0-10 errors"
"25","sec.gov",4804697,40259682,2194573,8.37923432,324.8849955,4865019,"http://sec.gov","Money and Business","https://www.sec.gov/Article/whatwedo.html","FAIL",15,"13","773","10-19 errors"
"26","drugabuse.gov",2643636,8535087,2134250,3.228540919,121.5896617,2641721,"http://drugabuse.gov","Health","https://www.drugabuse.gov/about-nida/directors-page","FAIL",32,"18","580","30-39 errors"
"27","recreation.gov",3526444,36518759,2053821,10.35568947,392.6299669,3523572,"http://recreation.gov","Travel and Transportation","https://www.recreation.gov/marketing.do?goto=/acm/aboutUs.htm&tti=About","FAIL",56,"39","421","50-59 errors"
"28","cms.gov",4384358,13610754,2038501,3.104389286,219.304412,4399677,"http://cms.gov","Health","https://www.cms.gov/About-CMS/Agency-Information/Consortia/index.html","FAIL",25,"27","309","20-29 errors"
"29","earthquake.usgs.gov",4977045,8472850,1920730,1.702385653,95.39631307,5003855,"http://usgs.gov","Home, Community, and Work","https://www.usgs.gov/about/about-us","FAIL",45,"10","595","40-49 errors"
"30","consumer.ftc.gov",2147655,3401970,1897750,1.584039336,85.58806745,2145740,"http://ftc.gov","Money and Business","https://www.ftc.gov/about-ftc","FAIL",4,"20","788","0-10 errors"
"31","osha.gov",3645173,12113236,1891047,3.323089467,220.4549795,3645173,"http://osha.gov","Home, Community, and Work","https://www.osha.gov/about.html","FAIL",32,"30","641","30-39 errors"
"32","dol.gov",2334366,5402172,1792426,2.314192376,131.9142971,2318089,"http://dol.gov","Home, Community, and Work","https://www.dol.gov/general/aboutdol/majorlaws","FAIL",33,"16","1672","30-39 errors"
"33","archives.gov",2440648,6000605,1777106,2.458611402,130.5406072,2447351,"http://archives.gov","Children and Education","https://www.archives.gov/publications/general-info-leaflets/1-about-archives.html","FAIL",6,"11","228","0-10 errors"
"34","fs.usda.gov",2426286,8069746,1723486,3.325966518,199.3429093,2421498,"http://usda.gov","Home, Community, and Work","https://www.usda.gov/our-agency/about-usda","FAIL",3,"13","371","0-10 errors"
"35","dhs.gov",1872855,3799330,1527200,2.028630086,94.58998374,1877643,"http://dhs.gov","Law Enforcement and Justice","https://www.dhs.gov/our-mission#","PASS",0,"0","0","0-10 errors"
"36","hud.gov",2419583,6380729,1475496,2.637119289,169.1840284,2416711,"http://hud.gov","Home, Community, and Work","https://www.hud.gov/about/hud_secretary/powersec","FAIL",14,"28","2378","10-19 errors"
"37","nhtsa.gov",2218510,3416333,1468793,1.53992229,99.40871035,2218510,"http://nhtsa.gov","Travel and Transportation","https://www.nhtsa.gov/about-nhtsa/nhtsas-core-values","FAIL",13,"14","283","10-19 errors"
"38","gsa.gov",2240532,6554993,1339532,2.925641321,188.9042866,2191700,"http://gsa.gov","Money and Business","https://www.gsa.gov/about-us/background-and-history","FAIL",35,"64","579","30-39 errors"
"39","energy.gov",1727316,3099403,1277295,1.794346257,121.5000168,1723486,"http://energy.gov","Home, Community, and Work","https://www.energy.gov/about-us","FAIL",22,"19","372","20-29 errors"
"40","hhs.gov",1647844,3919016,1254315,2.378268817,147.7089239,1573160,"http://hhs.gov","Health","https://www.hhs.gov/about/strategic-plan/introduction/index.html#mission","FAIL",7,"19","282","0-10 errors"
"41","treasury.gov",1928390,3533147,1229420,1.832174508,100.5873693,1913070,"https://home.treasury.gov/","Money and Business","https://www.treasury.gov/about/role-of-treasury/Pages/default.aspx","FAIL",8,"16","905","0-10 errors"
"42","faa.gov",1954242,5762189,1160481,2.948554478,190.2278229,1948497,"http://www.faa.gov","Travel and Transportation","https://www.faa.gov/about/mission/","FAIL",39,"19","751","30-39 errors"
"43","uspto.gov",2955779,6746491,1103989,2.282474772,203.7777747,2880137,"http://uspto.gov","Money and Business","https://www.uspto.gov/about-us","PASS",0,"0","0","0-10 errors"
"44","defense.gov",3105148,5829214,1073349,1.877274127,218.7539151,3067806,"http://defense.gov","Military and Veterans","https://www.defense.gov/About/","FAIL",18,"23","786","10-19 errors"
"45","uscourts.gov",1283997,2873435,987175,2.237882955,108.642827,1303147,"http://uscourts.gov","Law Enforcement and Justice","http://www.uscourts.gov/about-federal-courts/federal-courts-public","FAIL",19,"11","649","10-19 errors"
